YEAR,DOY,swv_dwn,lwv_dwn,T2M,T2MN,T2MX,RH2M,RAIN,WS10M
2001,175,28.48,28.80,24.00,14.65,31.92,39.85,0.00,1.26
2001,176,30.46,29.77,26.18,17.01,34.41,39.25,0.00,3.01
2001,177,27.61,31.82,27.31,20.03,34.28,43.24,0.00,3.02
2001,178,11.30,33.34,20.37,14.39,23.12,65.20,3.44,3.48
2001,179,26.96,31.36,20.05,14.87,25.85,58.11,0.74,3.06
2001,180,24.16,32.54,22.92,16.32,28.65,50.98,0.00,1.27
2001,181,20.05,33.98,23.19,17.73,27.45,48.14,0.00,3.66
2001,182,23.94,29.88,18.90,13.42,24.99,58.31,0.00,2.48
2001,183,28.40,29.52,22.84,15.39,28.33,53.78,0.00,3.03
2001,184,27.90,29.88,24.72,18.61,30.29,48.52,0.00,2.90
2001,185,19.76,33.08,23.81,19.08,27.15,55.17,16.54,1.84
2001,186,8.50,33.16,22.98,18.36,27.03,65.40,15.61,3.47
2001,187,14.04,32.98,19.49,15.76,22.89,83.58,10.70,1.50
2001,188,7.49,32.11,18.43,14.76,20.61,79.41,22.73,4.09
2001,189,10.66,32.40,17.52,13.92,21.49,69.25,2.62,4.79
2001,190,23.58,29.81,17.89,11.00,24.24,60.77,0.00,2.08
2001,191,16.60,32.22,20.02,14.04,24.44,55.64,3.00,5.14
2001,192,21.38,31.82,19.34,16.03,24.53,47.99,0.00,6.53
2001,193,7.56,31.50,17.75,13.38,21.35,61.24,0.83,4.50
2001,194,10.30,31.61,16.88,13.94,20.06,72.31,10.76,3.14
2001,195,5.18,31.03,15.87,11.10,20.35,86.50,17.08,3.00
2001,196,20.09,30.56,14.78,9.72,20.18,65.47,3.49,1.61
2001,197,18.65,30.89,15.58,10.23,20.23,59.46,0.00,1.24
2001,198,11.48,31.10,15.70,9.30,20.81,72.83,6.15,3.95
2001,199,7.74,30.85,15.42,13.48,17.85,81.47,11.62,7.27
2001,200,14.29,31.57,16.19,13.91,18.94,78.81,0.00,4.62
2001,201,14.08,31.64,15.39,11.81,19.42,71.03,0.00,3.69
2001,202,19.94,32.08,17.93,11.19,24.08,59.28,0.00,3.15
2001,203,25.88,30.71,22.59,14.33,30.16,47.68,0.00,1.77
2001,204,12.89,32.22,21.04,16.13,25.46,69.89,6.56,1.49
2001,205,24.37,29.48,20.57,16.87,25.01,69.86,0.00,2.22
2001,206,21.67,32.08,21.88,16.17,27.65,68.37,0.00,2.38
2001,207,18.83,32.90,22.81,17.51,28.25,71.75,0.88,1.57
2001,208,20.48,32.40,23.31,17.71,28.49,70.52,5.11,1.18
2001,209,20.23,33.37,23.01,19.07,26.62,74.63,1.50,2.33
2001,210,25.60,31.64,22.70,17.23,28.06,58.46,0.00,2.92
2001,211,27.25,29.84,23.80,14.32,31.45,49.92,0.00,1.12
2001,212,23.11,31.14,24.92,17.43,30.71,54.86,0.00,2.59
2001,213,27.29,30.60,24.05,19.54,28.66,55.02,0.00,3.10
2001,214,13.36,34.09,23.79,17.75,30.46,64.81,8.44,3.45
2001,215,17.71,33.16,19.64,14.24,23.19,73.59,3.27,3.63
2001,216,18.83,31.86,18.94,13.17,23.07,56.38,0.00,3.53
2001,217,13.54,32.40,19.77,16.56,24.02,60.90,1.27,4.84
2001,218,12.92,33.59,21.03,17.20,24.68,65.37,0.44,5.31
2001,219,9.36,32.00,19.55,17.86,22.41,79.06,5.57,4.64
2001,220,16.88,31.50,18.38,15.43,21.43,71.05,4.88,5.83
2001,221,17.86,30.82,17.02,13.78,20.82,59.45,0.00,4.34
2001,222,17.10,30.06,16.86,12.05,21.51,54.07,0.00,4.17
2001,223,24.48,29.20,16.92,10.89,23.17,52.51,0.00,1.82
2001,224,25.38,29.09,19.97,12.51,27.28,43.81,0.00,2.53
2001,225,25.92,29.92,23.03,16.48,29.14,48.54,0.00,2.63
2001,226,26.17,29.30,25.31,18.03,32.52,40.89,0.00,2.21
2001,227,20.74,32.94,27.61,23.04,32.47,42.52,3.41,3.72
2001,228,15.91,32.18,21.68,17.26,25.07,56.56,0.00,3.99
2001,229,21.92,29.66,20.23,13.61,25.90,45.93,0.00,1.18
2001,230,13.00,31.75,22.77,16.20,29.41,53.12,16.41,3.58
2001,231,13.50,32.36,20.62,14.96,25.34,61.33,3.40,5.52
2001,232,13.46,33.66,20.47,12.33,24.58,54.97,0.28,2.53
2001,233,20.52,31.72,21.83,16.44,28.21,61.11,0.00,1.06
2001,234,21.13,31.28,23.96,17.55,30.63,47.82,1.27,1.16
2001,235,20.16,32.22,25.16,17.87,31.82,45.67,0.68,0.83
2001,236,22.79,31.28,27.14,21.23,33.48,45.19,0.00,1.53
2001,237,22.32,31.03,29.23,20.88,36.85,34.08,0.00,2.85
2001,238,18.50,33.34,29.15,21.26,36.64,32.71,12.04,3.66
2001,239,14.44,33.01,23.76,18.86,26.65,61.68,0.00,3.68
2001,240,21.06,26.96,21.24,15.18,26.36,39.52,0.00,3.74
2001,241,16.24,32.44,21.07,12.82,27.94,37.82,12.08,2.18
2001,242,9.90,33.05,20.28,14.67,23.77,43.96,6.75,2.58
2001,243,10.55,31.97,16.55,12.33,19.19,68.68,0.00,4.06
